shrinkage,interaction.depth,n.minobsinnode,n.trees,Accuracy,Kappa,AccuracySD,KappaSD,rho
0.01,1,3,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,1,5,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,1,10,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,2,3,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,2,5,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,2,10,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,3,3,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,3,5,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,3,10,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,5,3,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,5,5,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,5,10,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,1,3,40,0.7377777777777778,0.6060606060606061,0.1625584204366839,0.24441522490025983,0
0.01,1,5,40,0.7266666666666667,0.5893939393939394,0.16331611566259036,0.24550338292880358,0
0.01,1,10,40,0.7044444444444444,0.556060606060606,0.1623050693235449,0.24389808713993502,0
0.01,2,3,40,0.7366666666666667,0.6023809523809524,0.16613495431506126,0.24998110283832667,0
0.01,2,5,40,0.7588888888888888,0.6357142857142857,0.18592813928149873,0.27993493467104447,0
0.01,2,10,40,0.7366666666666667,0.6023809523809524,0.18190049888661355,0.27356211504631217,0
0.01,3,3,40,0.7588888888888888,0.6347708894878705,0.17053534685439548,0.2575098151985446,0
0.01,3,5,40,0.7811111111111111,0.6695694242864054,0.17165777674851837,0.2588262570282941,0
0.01,3,10,40,0.7130555555555556,0.567667292057536,0.17317562665698197,0.25910033362913953,0
0.01,5,3,40,0.7366666666666667,0.6023809523809524,0.16613495431506126,0.24998110283832667,0
0.01,5,5,40,0.7488888888888889,0.6227272727272727,0.16925561224695596,0.2544823154015971,0
0.01,5,10,40,0.7155555555555555,0.5708333333333333,0.17925313733041984,0.27077990926074863,0
