shrinkage,interaction.depth,n.minobsinnode,n.trees,Accuracy,Kappa,AccuracySD,KappaSD,rho
0.01,1,3,0,0.355,0,0.029186501192363788,0,0
0.01,1,5,0,0.355,0,0.029186501192363788,0,0
0.01,1,10,0,0.355,0,0.029186501192363788,0,0
0.01,2,3,0,0.355,0,0.029186501192363788,0,0
0.01,2,5,0,0.355,0,0.029186501192363788,0,0
0.01,2,10,0,0.355,0,0.029186501192363788,0,0
0.01,3,3,0,0.355,0,0.029186501192363788,0,0
0.01,3,5,0,0.355,0,0.029186501192363788,0,0
0.01,3,10,0,0.355,0,0.029186501192363788,0,0
0.01,5,3,0,0.355,0,0.029186501192363788,0,0
0.01,5,5,0,0.355,0,0.029186501192363788,0,0
0.01,5,10,0,0.355,0,0.029186501192363788,0,0
0.01,1,3,40,0.7880555555555555,0.6799988286906892,0.08275571418610728,0.12390252656972713,0
0.01,1,5,40,0.8077777777777778,0.7106161280579885,0.11090876637201347,0.16813682152601267,0
0.01,1,10,40,0.7977777777777778,0.6942845429764034,0.09502183706859313,0.14404408586127337,0
0.01,2,3,40,0.7766666666666666,0.6617524916943521,0.08059492439437133,0.12227694895252247,0
0.01,2,5,40,0.7855555555555556,0.6768165942584546,0.10493482202028069,0.15815504645912368,0
0.01,2,10,40,0.7866666666666666,0.6776178763097368,0.10371858358856746,0.15668235624075771,0
0.01,3,3,40,0.7444444444444445,0.6135153122071726,0.09286072288430312,0.1406784273242856,0
0.01,3,5,40,0.7630555555555556,0.6431922244422245,0.09092998029732785,0.13665858934791633,0
0.01,3,10,40,0.7766666666666666,0.6617524916943521,0.09611985259612156,0.1453426700983253,0
0.01,5,3,40,0.7977777777777778,0.6952315126733731,0.09502183706859313,0.14402565379395602,0
0.01,5,5,40,0.7869444444444444,0.6787545787545787,0.1295902718029149,0.19490216452817935,0
0.01,5,10,40,0.7766666666666666,0.6627140301558906,0.1070572196786483,0.16261400462694828,0
0.01,1,3,80,0.8313888888888888,0.7453834440753045,0.10823476047225122,0.16337056604330072,0
0.01,1,5,80,0.83,0.7434832609251214,0.08971261845172628,0.13627565497545074,0
0.01,1,10,80,0.8077777777777778,0.7096691583610188,0.11090876637201347,0.16824884993983966,0
0.01,2,3,80,0.7766666666666666,0.6617524916943521,0.08059492439437133,0.12227694895252247,0
0.01,2,5,80,0.7655555555555555,0.6450858250276855,0.08776488419134013,0.13246668842565468,0
0.01,2,10,80,0.7766666666666666,0.6627140301558906,0.1070572196786483,0.16261400462694828,0
0.01,3,3,80,0.7744444444444445,0.660149927591788,0.11152546197801717,0.16782943645977497,0
0.01,3,5,80,0.7766666666666666,0.6627140301558906,0.1070572196786483,0.16261400462694828,0
0.01,3,10,80,0.7766666666666666,0.6627140301558906,0.1070572196786483,0.16261400462694828,0
0.01,5,3,80,0.7766666666666666,0.6626994613913219,0.08059492439437133,0.12253490208173645,0
0.01,5,5,80,0.7966666666666666,0.6934832609251214,0.10978998532614417,0.16557437378448708,0
0.01,5,10,80,0.7666666666666666,0.6482618157036761,0.11901660383755733,0.18033989170534054,0
0.01,1,3,120,0.8536111111111111,0.7787167774086379,0.09229628514951481,0.14008747819642578,0
0.01,1,5,120,0.8200000000000001,0.7276178763097367,0.101174515461529,0.15375695646380397,0
0.01,1,10,120,0.83,0.7434832609251214,0.11634140432106033,0.17583154765665285,0
0.01,2,3,120,0.7877777777777778,0.6784191583610188,0.08807692422887312,0.13383361499777122,0
0.01,2,5,120,0.7655555555555555,0.6450858250276855,0.08776488419134013,0.13246668842565468,0
0.01,2,10,120,0.7855555555555556,0.6772827947246551,0.13682290577451428,0.20648636158981,0
0.01,3,3,120,0.7855555555555556,0.6768165942584546,0.10493482202028069,0.15815504645912368,0
0.01,3,5,120,0.7966666666666666,0.6934832609251214,0.10978998532614417,0.16557437378448708,0
0.01,3,10,120,0.7877777777777778,0.6784191583610188,0.10247452759873724,0.1551910951361079,0
0.01,5,3,120,0.7977777777777778,0.6952315126733731,0.09502183706859313,0.14402565379395602,0
0.01,5,5,120,0.8077777777777777,0.710609169842075,0.11323434311597057,0.17129025098951953,0
