shrinkage,interaction.depth,n.minobsinnode,n.trees,Accuracy,Kappa,AccuracySD,KappaSD,rho
0.01,1,3,0,0.355,0,0.029186501192363788,0,0
0.01,1,5,0,0.355,0,0.029186501192363788,0,0
0.01,1,10,0,0.355,0,0.029186501192363788,0,0
0.01,2,3,0,0.355,0,0.029186501192363788,0,0
0.01,2,5,0,0.355,0,0.029186501192363788,0,0
0.01,2,10,0,0.355,0,0.029186501192363788,0,0
0.01,3,3,0,0.355,0,0.029186501192363788,0,0
0.01,3,5,0,0.355,0,0.029186501192363788,0,0
0.01,3,10,0,0.355,0,0.029186501192363788,0,0
0.01,5,3,0,0.355,0,0.029186501192363788,0,0
0.01,5,5,0,0.355,0,0.029186501192363788,0,0
0.01,5,10,0,0.355,0,0.029186501192363788,0,0
0.01,1,3,40,0.7130555555555556,0.5668831168831169,0.14695147477872872,0.2230393188062381,0
0.01,1,5,40,0.7652777777777777,0.6449716949716949,0.15007571248785725,0.2277254056066074,0
0.01,1,10,40,0.7541666666666667,0.6296827550558893,0.17010471438086405,0.2567541914211031,0
0.01,2,3,40,0.7413888888888889,0.6081439393939394,0.16425440512264744,0.24915539251234242,0
0.01,2,5,40,0.7638888888888888,0.6448055820148844,0.18249903695933212,0.2722438416688335,0
0.01,2,10,40,0.7005555555555556,0.5481855353948377,0.16897983256425328,0.2542201761321535,0
0.01,3,3,40,0.7652777777777777,0.646349421722556,0.15895346395629037,0.24025941829996889,0
0.01,3,5,40,0.7911111111111111,0.6837002822441482,0.1552123639242441,0.23613422451754873,0
0.01,3,10,40,0.7230555555555556,0.5861762615493958,0.16826420574658213,0.24930890430841643,0
0.01,5,3,40,0.7872222222222222,0.6803324929149296,0.18817585097889786,0.28085487464887227,0
0.01,5,5,40,0.7327777777777778,0.5992136117960484,0.17496227302526496,0.261005757016764,0
0.01,5,10,40,0.7327777777777778,0.5978358850451874,0.15850813396238042,0.23651876514090225,0
0.01,1,3,80,0.7438888888888889,0.6158802784627151,0.1960725489313699,0.2928237068229311,0
0.01,1,5,80,0.755,0.6311692183785207,0.20128530754700788,0.3011134874259418,0
0.01,1,10,80,0.7663888888888889,0.6520062027524713,0.15665643299033882,0.23031677840308692,0
0.01,2,3,80,0.755,0.6311692183785207,0.17968116862764566,0.26860903520040846,0
0.01,2,5,80,0.79,0.6855861886580387,0.12010083783340282,0.1788849485776347,0
0.01,2,10,80,0.7338888888888889,0.6000503372596395,0.17941376873451667,0.2682756649518207,0
0.01,3,3,80,0.7563888888888889,0.6327130580861924,0.16436710935960341,0.2489544437726434,0
0.01,3,5,80,0.7922222222222222,0.6863461438452337,0.1665730189578096,0.25148903411109697,0
0.01,3,10,80,0.7575,0.637012987012987,0.15181825509099744,0.224710238519648,0
0.01,5,3,80,0.78,0.6670336155774816,0.1420130116336212,0.21638471619999886,0
0.01,5,5,80,0.7688888888888888,0.6530895807882965,0.12637311663899684,0.18951493232602418,0
0.01,5,10,80,0.7216666666666667,0.5811692183785206,0.1588970903520873,0.23700129922292015,0
0.01,1,3,120,0.7675,0.6493797247528591,0.16964443773307833,0.2569311851653281,0
0.01,1,5,120,0.7427777777777778,0.6136867008960032,0.197772229080162,0.29534116433463814,0
0.01,1,10,120,0.7552777777777777,0.6353395360858047,0.1596702814096352,0.23511830223694677,0
0.01,2,3,120,0.7675,0.648001998001998,0.16135597611742364,0.24526961452355336,0
0.01,2,5,120,0.7688888888888888,0.6530895807882965,0.14648253499644562,0.2196852033863073,0
0.01,2,10,120,0.7341666666666666,0.6014652014652014,0.15055937082314463,0.22264147590241137,0
0.01,3,3,120,0.7763888888888889,0.6639073539863707,0.1551319739940197,0.23485571876265862,0
0.01,3,5,120,0.7488888888888889,0.6232388345196398,0.16887528372750893,0.25270970386227815,0
0.01,3,10,120,0.7477777777777778,0.6205929729185543,0.13881355981882593,0.20894521184799406,0
0.01,5,3,120,0.7688888888888888,0.6530895807882965,0.14648253499644562,0.2196852033863073,0
0.01,5,5,120,0.7688888888888888,0.6530895807882965,0.14648253499644562,0.2196852033863073,0
0.01,5,10,120,0.7577777777777778,0.6364229141216298,0.10723005792388343,0.16076427870468424,0
